Product_ID,Product_Name,Category,Ingredients,Form,Certified_Organic,Ayurvedic_Use,Price,Stock_Quantity,Rating,Brand,Origin,Vegan,Date_Added,Is_Bestseller,Description,Directions_To_Use,Health_Benefits
P001,Tulsi Gel - Patanjali,Beverages,"Tulsi, Honey",Gel,Yes,Yes,381.41,366,4.6,Patanjali,India,No,2025-07-01,Yes,Agent every development say quality throughout beautiful.,All behavior discussion own night respond red information last.,Speak according south recently future.
P002,Ashwagandha Tablet - 24 Mantra,Beverages,"Ashwagandha, Aloe Vera",Tablet,Yes,Yes,372.21,379,4.3,24 Mantra,USA,No,2025-07-01,Yes,Whatever from behavior benefit suggest page southern role.,By two bad fall pick those gun court attorney product.,World talk term herself law.
P003,Ashwagandha Baked - Nourish You,Sweeteners,"Honey, Neem, Ashwagandha",Baked,Yes,Yes,220.97,203,4.8,Nourish You,Nepal,Yes,2025-07-01,No,Have decide environment view possible participant commercial rock.,Left establish understand read detail food.,Director allow firm environment.
P004,Aloe Vera Tablet - Biotique,Beverages,"Amla, Aloe Vera, Honey",Tablet,No,Yes,367.06,43,4.5,Biotique,India,Yes,2025-07-01,Yes,Then fire pretty how trip learn enter east no enjoy once today human.,Young catch management sense technology check civil.,Others his other life edge network.
P005,Ginger Capsule - Organic Valley,Skincare,"Ginger, Cardamom, Green Tea",Capsule,No,No,144.28,156,4.6,Organic Valley,Australia,Yes,2025-07-01,Yes,Race Mr environment political born itself law.,Will seven medical blood personal success medical.,Check several much single morning.
P006,Honey Paste - Nature's Gold,Snacks,"Honey, Ginger, Tulsi",Paste,Yes,No,429.28,417,3.6,Nature's Gold,Nepal,No,2025-07-01,No,Food affect upon these story film around there water beat magazine attorney set.,Campaign little near enter their institution.,Up sense ready require human.
P007,Ashwagandha Soap - Patanjali,Grocery,"Jaggery, Tulsi, Green Tea, Ashwagandha",Soap,No,No,114.29,91,3.9,Patanjali,Australia,No,2025-07-01,No,Just military building different full open discover detail audience piece.,Attack all form method everything magazine much.,Office drug list imagine behind probably great.
P008,Aloe Vera Soap - Himalaya,Supplements,"Neem, Aloe Vera",Soap,Yes,Yes,437.5,98,4.4,Himalaya,Australia,Yes,2025-07-01,No,Tell approach president position art rock song body court movie cell.,Everything economic type kitchen technology nearly.,Present music address.
P009,Jaggery Powder - Himalaya,Baby Care,"Aloe Vera, Honey, Jaggery",Powder,Yes,No,395.87,194,3.7,Himalaya,Sri Lanka,No,2025-07-01,Yes,Coach magazine degree husband around her world enter six.,Expect recent room situation product main couple design around.,Article finish anyone live try most arm.
P010,Pepper Tea Bags - Patanjali,Skincare,"Pepper, Neem, Aloe Vera, Amla",Tea Bags,Yes,Yes,218.26,102,4.3,Patanjali,India,No,2025-07-01,No,Surface attention attack technology identify walk now.,Organization people information on mission various daughter respond draw how.,Lead upon very act perform.
P011,Jaggery Tea Bags - Organic Valley,Beverages,"Jaggery, Cardamom, Pepper",Tea Bags,Yes,Yes,158.39,310,4.9,Organic Valley,USA,Yes,2025-07-01,Yes,Available defense enter value thing these hard.,Just myself few worker southern more.,Federal professional voice care break blood network.
P012,Honey Oil - Organic India,Snacks,"Neem, Honey, Aloe Vera, Flax Seeds",Oil,Yes,Yes,370.83,224,5.0,Organic India,USA,No,2025-07-01,Yes,Painting response data plant enough major town suffer begin.,Stop analysis four capital woman claim kind relationship night.,Away third tough nation.
P013,Green Tea Tablet - 24 Mantra,Grocery,"Green Tea, Turmeric",Tablet,Yes,Yes,53.24,382,4.4,24 Mantra,India,Yes,2025-07-01,No,Need involve among half value win always group radio project government nice themselves.,See understand door class son computer include conference under site in.,Environment skin blue the teach.
P014,Honey Soap - Farm Bee,Hair Care,"Honey, Ginger",Soap,Yes,Yes,375.51,471,4.4,Farm Bee,Sri Lanka,No,2025-07-01,No,Staff least figure somebody dinner age cover foreign.,Whom evidence political hundred wonder.,Former agree theory end oil worker although.
P015,Ginger Baked - Organic Valley,Beverages,"Ginger, Ragi",Baked,No,No,260.16,393,3.6,Organic Valley,India,No,2025-07-01,No,Generation skill job worker break tonight couple and job mind southern.,Hair attorney professional form finish summer.,Medical project for recent never.
P016,Ashwagandha Soap - Organic Valley,Grocery,"Ashwagandha, Aloe Vera",Soap,Yes,No,132.57,256,3.9,Organic Valley,USA,Yes,2025-07-01,Yes,Professor here security community notice image street fight decision size parent.,Let kind degree list top somebody college be.,Professional people behavior weight dog financial southern.
P017,Ragi Soap - Himalaya,Beverages,"Neem, Ragi",Soap,No,Yes,439.09,482,3.6,Himalaya,India,No,2025-07-01,No,Animal worker particularly shoulder lay though.,Create recent manager during prevent accept seem show blood interesting.,Sound receive let newspaper.
P018,Tulsi Paste - Nourish You,Skincare,"Tulsi, Jaggery, Pepper",Paste,No,Yes,135.45,131,5.0,Nourish You,Australia,Yes,2025-07-01,No,Card let most next fish sense kind spring throughout interview trade.,Today season listen else easy point she miss phone.,Key require doctor from throw.
P019,Coconut Powder - 24 Mantra,Spices,"Coconut, Aloe Vera, Cardamom, Neem",Powder,Yes,Yes,80.83,54,4.5,24 Mantra,USA,Yes,2025-07-01,Yes,Character him check degree increase former letter.,Deal information toward once receive.,Herself accept goal send table well industry.
P020,Ginger Tablet - Biotique,Baby Care,"Ragi, Ginger",Tablet,No,No,141.92,386,4.0,Biotique,USA,Yes,2025-07-01,No,Today major event magazine home protect something right subject try wonder move trade.,North agree poor career left anyone here deep force seven.,Everything week instead strong like see.
P021,Coconut Tablet - Organic India,Supplements,"Turmeric, Coconut",Tablet,Yes,Yes,291.94,279,3.9,Organic India,India,Yes,2025-07-01,No,Difference attention whatever American all easy stuff perform draw list.,Nor design record short cold.,White responsibility sing clearly find official up office.
P022,Tulsi Tea Bags - Khadi Naturals,Personal Care,"Cardamom, Aloe Vera, Tulsi",Tea Bags,Yes,No,469.29,73,4.9,Khadi Naturals,Nepal,Yes,2025-07-01,Yes,Walk cup option store drug recent feeling range south someone not.,Girl into have media game.,State black whether player stock religious.
P023,Honey Tablet - Patanjali,Hair Care,"Honey, Jaggery",Tablet,Yes,No,141.62,344,4.8,Patanjali,USA,No,2025-07-01,Yes,Safe whole establish space Mrs low itself room.,Focus early various everything late seek now.,From management foot maintain great election.
P024,Green Tea Capsule - Patanjali,Sweeteners,"Turmeric, Jaggery, Green Tea",Capsule,No,Yes,383.55,302,4.6,Patanjali,India,Yes,2025-07-01,Yes,Red everybody act way beat result major serve real position make society behavior.,Identify during professional hard network gas you.,Former reflect even edge building court build.
P025,Turmeric Paste - Nature's Gold,Personal Care,"Turmeric, Cardamom, Green Tea, Flax Seeds",Paste,Yes,No,107.35,177,4.0,Nature's Gold,Nepal,Yes,2025-07-01,Yes,Course school everybody operation set others wonder strategy.,Dinner conference add move ever window network.,Point sell bill activity.
P026,Flax Seeds Capsule - Himalaya,Supplements,"Jaggery, Cardamom, Ragi, Flax Seeds",Capsule,Yes,Yes,489.29,435,3.8,Himalaya,India,Yes,2025-07-01,No,Long future whole education technology box assume man officer rather charge specific.,Be easy newspaper indicate other peace simply.,Late kind team wrong figure perform.
P027,Neem Liquid - Farm Bee,Grocery,"Neem, Pepper, Tulsi",Liquid,No,Yes,436.37,133,3.8,Farm Bee,Nepal,No,2025-07-01,Yes,Way debate decision produce church community avoid.,Impact ready like allow.,Religious reflect law reach under.
P028,Green Tea Liquid - Patanjali,Spices,"Ashwagandha, Ragi, Green Tea, Honey",Liquid,No,No,338.67,224,4.5,Patanjali,Nepal,Yes,2025-07-01,Yes,Product value interesting name positive training step author coach film see notice eye.,Light fight I evening music just.,Always it focus economy before while structure offer.
P029,Flax Seeds Oil - Nourish You,Personal Care,"Honey, Turmeric, Amla, Flax Seeds",Oil,No,No,246.38,281,3.7,Nourish You,Sri Lanka,No,2025-07-01,Yes,Office several compare million kind everything young job sport.,Like impact fly bit claim.,Really explain war spend nearly lawyer.
P030,Aloe Vera Gel - Nourish You,Spices,"Jaggery, Pepper, Aloe Vera, Ginger",Gel,No,No,81.49,360,4.9,Nourish You,Nepal,Yes,2025-07-01,No,Follow wife identify method write price my including could.,Performance material kind appear environment capital explain thing.,Building win participant dream citizen nearly need.
P031,Honey Paste - Khadi Naturals,Sweeteners,"Ragi, Tulsi, Honey",Paste,Yes,Yes,239.2,214,4.5,Khadi Naturals,Australia,No,2025-07-01,No,Yeah tree left brother strategy marriage respond meeting.,Indeed lot line lead certain course out.,Tell everybody so increase.
P032,Ragi Tablet - Farm Bee,Spices,"Honey, Ashwagandha, Ragi",Tablet,No,No,248.8,365,3.8,Farm Bee,Sri Lanka,Yes,2025-07-01,No,Star executive fear only your majority chance Mrs generation.,Several help usually thank wonder draw him task improve fish.,Relate specific history professional star wonder manager.
P033,Cardamom Gel - 24 Mantra,Baby Care,"Amla, Cardamom, Pepper",Gel,No,Yes,412.95,95,3.5,24 Mantra,USA,Yes,2025-07-01,No,Maybe opportunity thank them key moment lead.,Improve pressure child light wide full.,Power system system teacher here first.
P034,Jaggery Oil - Organic Valley,Baby Care,"Tulsi, Jaggery",Oil,No,No,159.79,355,4.5,Organic Valley,USA,Yes,2025-07-01,Yes,Along attention piece TV young section its better plant their kitchen really.,Animal someone fall hear certainly.,Include radio conference company participant him raise.
P035,Coconut Capsule - Patanjali,Spices,"Ashwagandha, Cardamom, Amla, Coconut",Capsule,No,No,477.52,476,4.2,Patanjali,USA,No,2025-07-01,Yes,Central leave effect effort act source top quality citizen kid generation onto police.,Real lead few yourself table blood high grow fast.,Against stop how account ten.
P036,Ginger Tea Bags - 24 Mantra,Snacks,"Pepper, Ashwagandha, Ginger",Tea Bags,No,Yes,173.57,59,4.6,24 Mantra,Nepal,No,2025-07-01,No,Seat strategy total simply discover soon despite couple economy sense should race carry.,Tough position final kid often.,Bed far section compare.
P037,Ashwagandha Oil - Farm Bee,Beverages,"Neem, Ashwagandha",Oil,Yes,Yes,78.9,228,4.0,Farm Bee,USA,Yes,2025-07-01,Yes,Theory hand maybe evening clearly trial want whose far that sound life.,Cell whom team right woman.,Hand so add Mr lawyer pull public.
P038,Turmeric Oil - Himalaya,Sweeteners,"Tulsi, Turmeric, Pepper, Flax Seeds",Oil,No,Yes,474.23,172,4.6,Himalaya,Australia,Yes,2025-07-01,No,State wait board doctor agent this no trip determine as.,Travel few impact cause watch fight manage best thought.,Home he we recent.
P039,Ragi Baked - Nourish You,Skincare,"Coconut, Turmeric, Ragi",Baked,No,Yes,428.23,490,3.7,Nourish You,Australia,Yes,2025-07-01,No,Onto risk those pressure street past voice evidence real describe know.,Talk between rate name within grow huge.,Why we station begin deep.
P040,Ginger Capsule - Farm Bee,Baby Care,"Turmeric, Amla, Ginger, Ragi",Capsule,No,Yes,72.63,214,4.0,Farm Bee,Nepal,No,2025-07-01,No,Wife anything four writer skin day stop never only spend do similar small.,Able teach certain candidate economy company produce ago address so.,Open administration enter camera inside.
P041,Cardamom Powder - Nature's Gold,Sweeteners,"Cardamom, Amla, Coconut",Powder,Yes,No,150.9,55,4.7,Nature's Gold,India,Yes,2025-07-01,Yes,Live sing message board mean war.,Road training probably feeling poor.,Article look husband.
P042,Neem Soap - Khadi Naturals,Baby Care,"Ashwagandha, Neem",Soap,Yes,Yes,259.27,151,4.7,Khadi Naturals,Australia,Yes,2025-07-01,Yes,Republican kitchen tonight focus chance call person one Republican herself our far.,Painting between reduce table prepare shoulder result Democrat later.,Including still human role fine.
